日期,恒瑞医药,中微公司,澜起科技,兆易创新,海光信息,寒武纪,中芯国际
2026/5/26,49.2,463.51,272.29,526.22,341.16,1410.96,149.18
2026/5/27,50.37,455.05,265.5,514.18,316.79,1340,146.22
2026/5/28,48,453.12,260.98,483,314.36,1391.5,153.7
2026/5/29,50.19,297.68,253,467.01,293.9,1310,139.91
2026/6/1,49.17,273,232.3,468,275.36,1238,132.44
2026/6/2,48.4,282.8,237,474.69,283.49,1300,132.48
2026/6/3,47.2,285.92,253.9,492.23,285.94,1378.1,134
2026/6/4,46.63,289.39,259.67,529.31,285.79,1358.9,134.88
2026/6/5,47.08,276,239.39,488,274.06,1299.2,127.4
2026/6/8,45.94,265.47,224.31,474.01,259.7,1250.36,121.92
2026/6/9,46.38,285.04,236.4,500.5,268.18,1270.01,127.3
2026/6/10,47.01,289.11,231,480.84,284.8,1231,125.34
2026/6/11,46.98,303.12,228.7,483.5,289.84,1219.5,127.4
2026/6/12,48.49,303.92,224.88,481.47,280,1240,124.88
2026/6/15,47.88,319.98,240.1,518,299.32,1335,130.52
2026/6/16,47.35,319,244.17,532.76,294.31,1306.99,130.14
2026/6/17,46.99,351,262.5,586.04,308.22,1320,134.7
2026/6/18,48.42,360,269.9,629,328,1507.46,140.7
2026/6/22,49.36,372.74,280.05,689.7,327.3,1456.99,145.59
2026/6/23,48.98,371.72,258,640.99,317,1413,141.7
2026/6/24,50.25,383,266.49,705.09,337.1,1453,151.53
2026/6/25,50.04,399.13,279.16,775.21,360.28,1505,156.86
2026/6/26,48.67,413,261.82,770,344.9,1458,148.76
2026/6/29,52.93,456.69,296.06,840,354.84,1482,151
2026/6/30,52.04,468.5,309.9,815,370.3,1595.55,158.82
2026/7/1,53.78,462,315.89,772.01,349.9,1485.33,154.48
2026/7/2,53.49,408.9,269.15,694.81,322.29,1372,144.1
2026/7/3,54.45,413.69,266.8,677.77,325.4,1353,140.31
2026/7/6,56.77,420,268.68,654.29,339,1369.75,143.99
2026/7/7,55.36,420.04,253.2,620,342.6,1388,145.42
2026/7/8,54.01,423,247.15,603.17,343,1413.55,152.1
2026/7/9,55.61,471.59,285.8,663.49,363.46,1535.01,173
2026/7/10,55.75,434.51,268.06,612,353,1400,163.02
2026/7/13,55.75,408.6,252.79,550.8,345,1390,163.58
2026/7/14,54.82,405.3,270,583.99,340.85,1411,160.99
2026/7/15,57.5,391.29,252.68,571.79,324.11,1347.46,153.64
2026/7/16,55.99,361.42,211.13,514.61,320.4,1279.22,151.8
2026/7/17,53.19,350.69,183.6,463.15,304.88,1190.58,139.88
2026/7/20,55.57,342.5,189.94,432.3,320.12,1209,144
2026/7/21,54.93,407.89,219.6,475.53,344.53,1350.02,160
2026/7/22,55.39,392.99,223,470,331.6,1310,155.59
2026/7/23,54.91,375.2,225.5,451.96,312,1249,145.09
2026/7/24,53.45,388.5,233.66,457,314.28,1225,143.73
2026/7/27,53.6,399.77,227.45,434.03,313.59,1241.02,143.77
2026/7/28,53.29,383,206.04,390.63,298.28,1128,136.7
2026/7/29,53.89,360,207.5,364.03,284,1146.9,130.9
2026/7/30,54.65,346.5,196.78,371.1,273.42,1042.43,122.99
2026/7/31,54.08,344,204.9,378.6,277,1106,123.99
2026/8/3,53,309.85,189.94,340.74,261,1028,116.5
2026/8/4,53.42,317.74,203.25,356.02,275.35,1078.21,121.1
2026/8/5,53.54,358,212,385.44,288.85,1136.9,125.45
2026/8/6,52.11,361.59,208.36,385,291.05,1168.15,124.15
2026/8/7,54.62,367.65,215.52,417.05,295.75,1199.93,128.5
2026/8/10,54.18,389.99,206.92,403.03,290.44,1124,126.25
2026/8/11,54.97,363.1,206.7,402.29,287.01,1090.64,125.41
2026/8/12,54.36,380.95,215.43,413.17,287.66,1105.38,127.96
2026/8/13,53.76,370.42,210.22,404.5,286,1105.5,129.44
2026/8/14,52.62,374.85,211.91,417.48,280.99,1093,132.87
2026/8/17,52.87,387.82,224.37,444,288.8,1156,136.76
2026/8/18,52.37,398.33,218,436.74,280.08,1162.5,134.98
2026/8/19,52.66,372,200,403.71,259.74,1050.49,128.01
2026/8/20,49.5,365.5,199.11,403.5,246.33,1010.88,125.5
2026/8/21,47.74,362.5,200.55,409.06,246.21,1035,124.8
2026/8/24,46.76,357.65,191.83,381.66,230.81,969.05,120.58
2026/8/25,46.49,354,194.42,395.51,232.06,1010.48,120
,,,,,,,
