日期,恒瑞医药,中微公司,澜起科技,兆易创新,海光信息,寒武纪,中芯国际
2026-05-27,0.0235,-0.0184,-0.0253,-0.0231,-0.0741,-0.0516,-0.02
2026-05-28,-0.0482,-0.0043,-0.0172,-0.0626,-0.0077,0.0377,0.0499
2026-05-29,0.0446,-0.4201,-0.0311,-0.0337,-0.0673,-0.0604,-0.094
2026-06-01,-0.0205,-0.0865,-0.0854,0.0021,-0.0652,-0.0565,-0.0549
2026-06-02,-0.0158,0.0353,0.02,0.0142,0.0291,0.0489,0.0003
2026-06-03,-0.0251,0.011,0.0689,0.0363,0.0086,0.0583,0.0114
2026-06-04,-0.0121,0.0121,0.0225,0.0726,-0.0005,-0.014,0.0065
2026-06-05,0.0096,-0.0474,-0.0813,-0.0813,-0.0419,-0.0449,-0.0571
2026-06-08,-0.0245,-0.0389,-0.0651,-0.0291,-0.0538,-0.0383,-0.044
2026-06-09,0.0095,0.0711,0.0525,0.0544,0.0321,0.0156,0.0432
2026-06-10,0.0135,0.0142,-0.0231,-0.0401,0.0601,-0.0312,-0.0155
2026-06-11,-0.0006,0.0473,-0.01,0.0055,0.0175,-0.0094,0.0163
2026-06-12,0.0316,0.0026,-0.0168,-0.0042,-0.0345,0.0167,-0.02
2026-06-15,-0.0127,0.0515,0.0655,0.0731,0.0667,0.0738,0.0442
2026-06-16,-0.0111,-0.0031,0.0168,0.0281,-0.0169,-0.0212,-0.0029
2026-06-17,-0.0076,0.0956,0.0724,0.0953,0.0462,0.0099,0.0344
2026-06-18,0.03,0.0253,0.0278,0.0707,0.0622,0.1328,0.0436
2026-06-22,0.0192,0.0348,0.0369,0.0921,-0.0021,-0.0341,0.0342
2026-06-23,-0.0077,-0.0027,-0.082,-0.0732,-0.032,-0.0307,-0.0271
2026-06-24,0.0256,0.0299,0.0324,0.0953,0.0615,0.0279,0.0671
2026-06-25,-0.0042,0.0413,0.0464,0.0948,0.0665,0.0352,0.0346
2026-06-26,-0.0278,0.0342,-0.0641,-0.0067,-0.0436,-0.0317,-0.053
2026-06-29,0.0839,0.1006,0.1229,0.087,0.0284,0.0163,0.0149
2026-06-30,-0.017,0.0255,0.0457,-0.0302,0.0426,0.0738,0.0505
2026-07-01,0.0329,-0.014,0.0191,-0.0542,-0.0567,-0.0716,-0.0277
2026-07-02,-0.0054,-0.1221,-0.1601,-0.1054,-0.0822,-0.0794,-0.0696
2026-07-03,0.0178,0.0116,-0.0088,-0.0248,0.0096,-0.0139,-0.0267
2026-07-06,0.0417,0.0151,0.007,-0.0353,0.0409,0.0123,0.0259
2026-07-07,-0.0252,0.0001,-0.0593,-0.0538,0.0106,0.0132,0.0099
2026-07-08,-0.0247,0.007,-0.0242,-0.0275,0.0012,0.0182,0.0449
2026-07-09,0.0292,0.1087,0.1453,0.0953,0.0579,0.0824,0.1288
2026-07-10,0.0025,-0.0819,-0.0641,-0.0808,-0.0292,-0.0921,-0.0594
2026-07-13,0.0,-0.0615,-0.0587,-0.1054,-0.0229,-0.0072,0.0034
2026-07-14,-0.0168,-0.0081,0.0659,0.0585,-0.0121,0.015,-0.016
2026-07-15,0.0477,-0.0352,-0.0663,-0.0211,-0.0504,-0.0461,-0.0467
2026-07-16,-0.0266,-0.0794,-0.1796,-0.1054,-0.0115,-0.052,-0.012
